select		gse	title.x	submission_date.x	type.x	summary	organism_ch1	Curated	tlr1	tlr10	tlr2	tlr3	tlr4	tlr5	tlr6	tlr7	tlr8	tlr9	Comments
1		GSE79272	Stimulation of isolated plasmacytoid dendritic cells (pDCs) with TLR9 agonist CpG C (CpG) and TLR7 agonist imiquimod (IMQ)	3/16/2016	Expression profiling by high throughput sequencing	The purpose of this experiment was to assess the genes upregulated when pDCs were stimulated with TLR7 agonist imiquimod and TLR9 agonist CpG C.	Homo sapiens		0	0	0	0	0	0	0	1	0	1	
0		GSE78243	Oxidized mitochondrial nucleoids released by neutrophils drive  type I Interferon production in human lupus	2/24/2016	Expression profiling by array	"Autoantibodies against nucleic acids and excessive type I Interferon (IFN) are hallmarks  of human Systemic Lupus Erythematosus (SLE). We previously reported that SLE  neutrophils, exposed to TLR7-agonist autoantibodies, release interferogenic DNA, which  we now demonstrate to be of mitochondrial origin. We further show that healthy human  neutrophils do not complete mitophagy upon induction of mitochondrial damage. Rather,  they extrude mitochondrial components, including DNA (mtDNA), devoid of oxidized  residues. When MtDNA undergoes oxidation, it is directly routed to lysosomes for  degradation. This rerouting requires dissociation from the transcription factor TFAM, a  dual high mobility group (HMG) protein involved in maintenance and compaction of the  mitochondrial genome into nucleoids. Exposure of SLE neutrophils, or healthy IFNprimed  neutrophils, to anti-RNP autoantibodies blocks TFAM phosphorylation, a  necessary step for nucleoid dissociation. Consequently, oxidized nucleoids accumulate  within mitochondria and are eventually extruded as potent interferogenic complexes. In  support of the in vivo relevance of this phenomenon, mitochondrial retention of oxidized  nucleoids is a feature of SLE blood neutrophils, and autoantibodies against oxidized  mtDNA are present in a fraction of patients. This pathway represents a novel therapeutic  target in human SLE."	Homo sapiens		0	0	0	0	0	0	0	1	0	0	
1		GSE81527	IRAK4_hPBMC_stimulus_compound_exp3	5/17/2016	Expression profiling by array	The goal of this experiment is to characterize the ability of IRAK4 kinase inhibitors to block TLR7 or TLR9 induced gene transcription in human PBMCs. PBMCs from two donors were pretreated with compound for 30 minutes and stimulated with gardiquimod (TLR7 ligand) or ODN 2216 (TLR9 ligand) for 5 hrs. Compound treated gene expression profiles wil be compared to untreated.	Homo sapiens		0	0	0	0	0	0	0	1	0	1	
0		GSE70505	CD103+ Conventional Dendritic Cells are Critical for TLR-dependent Host Defense against an Endemic Fungal Pathogen	7/4/2015	Expression profiling by array	"Innate immune cells shape the host response to microbial;	pathogens. Here we studied the role of TLR7/9 in dendritic cell (DC);	responses to Histoplasma capsulatum, an intracellular fungal pathogen;	of humans. Whereas macrophages succumbed to Histoplasma infection,;	TLR7/9 were critical for DCs to produce Type I interferons (IFN-I),;	restrict fungal growth, and survive fungal infection. In the mouse;	model of infection, optimal IFN-I and IFN gamma production, host survival,;	and restriction of cerebral fungal burden were also dependent on;	TLR7/9.  Interestingly, CD103+ conventional DCs were the major;	producer of IFN-I in the lungs of infected mice, revealing a;	previously unknown role for these cells and uncovering their pivotal;	function in modulating the host immune response to endemic fungi."	Mus musculus		0	0	0	0	0	0	0	1	0	0	
1		GSE94380	Gene expression data of Peyer's patch conventional dendritic cells  and macrophages at steady state and under TLR7 ligand stimulation	2/1/2017	Expression profiling by array	"The initiation of the mucosal immune response in Peyer’s patch (PP) relies on the sampling, processing and efficient presentation of foreign antigens by dendritic cells (DC). PP DC encompass five subsets, among which CD11b+ conventional DC (cDC) and LysoDC have distinct progenitors and functions but share many cell surface markers. This has previously led to confusion between these two subsets. In addition, another PP DC subset, termed double-negative (DN), remains poorly characterized. Here, we have studied the genetic relatedness of  the different subsets of PP cDC at steady state and under TLR7 ligand stimulation. We also provide the transcriptional profiles of  subepithelial TIM-4- and interfollicular TIM-4+ macrophages."	Mus musculus		0	0	0	0	0	0	0	1	0	0	
1		GSE94843	RNA-sequencing of murine norovirus (MNV) infection and loxoribine (Lox) stimulation in RAW264.7 macrophages	2/13/2017	Expression profiling by high throughput sequencing	"This study aimed to generate a comprehensive analysis of changes in the transcriptome following MNV infection. Furthermore, we aimed to perform a differential gene expression analysis between MNV infection and loxoribine (tlr7 agonist) treatment to delineate features of the host modified directly by the MNV as opposed to indirect changes induced through IFN signalling."	Mus musculus		0	0	0	0	0	0	0	1	0	0	
1		GSE80028	Vaccination and topical imiquimod treatment promote immune signatures in melanoma	4/7/2016	Expression profiling by array	"Introduction: Infiltration of cancers by T-cells is associated with improved patient survival and response to immune therapies; however, optimal approaches to induce T-cell infiltration of tumors are not known. This study tests the hypothesis that topical treatment of melanoma metastases with the TLR7 agonist imiquimod treatment plus administration of a multipeptide cancer vaccine will improve immune cell infiltration of melanoma metastases. Patients and Methods: Eligible patients were immunized with a vaccine comprised of 12 melanoma peptides and a tetanus toxoid-derived helper peptide, and imiquimod was applied topically to tumors daily. Adverse events (AE; CTCAE v4.03) were recorded and effects on the tumor microenvironment (TME) were evaluated from sequential tumor biopsies. T-cell responses were assessed by IFNgamma ELIspot assay, and T-cell tetramer staining. Patient tumors were evaluated for immune cell infiltration, cytokine and chemokine production, and gene expression. Results and Conclusions: Four eligible patients were enrolled, and administration of imiquimod and vaccination was well tolerated in these patients. Circulating T-cell responses to the vaccine were detected by ex vivo ELIspot assay in 3 of 4 patients. Treatment of metastases with imiquimod induced immune cell infiltration and favorable gene signatures in the patients with circulating T-cell responses. This study supports further study of topical imiquimod combined with vaccines or other immune therapies for the treatment of melanoma. Precis: This clinical trial tested topical application of imiquimod to melanoma metastases combined with a melanoma vaccine. The regimen dramatically upregulated immune rejection gene signatures in melanoma metastases and increased T-cell infiltrate."	Homo sapiens		0	0	0	0	0	0	0	1	0	0	
1		GSE6789	response to IL-1b of WT and IRAK4 kinase dead mouse embryonic fibroblasts	1/18/2007	Expression profiling by array	"IRAK-4 is an essential component of the signal transduction complex downstream of the IL-1- and Toll-like receptors. Though regarded as the first kinase in the signaling cascade, the role of IRAK-4 kinase activity versus its scaffold function is still controversial. In order to investigate the role of IRAK-4 kinase function in vivo, ‘knock-in’ mice were generated by replacing the wild type IRAK-4 gene with a mutant gene encoding kinase deficient IRAK-4 protein (IRAK-4 KD). Analysis of embryonic fibroblasts and macrophages obtained from IRAK-4 KD mice with a number of experimental techniques demonstrated that they greatly lack responsiveness to stimulation with IL-1b or a Toll-like receptor 7 (TLR7) agonist. One of the techniques used, microarray analysis, identified IRAK-4 kinase-dependent IL-1b response genes in mouse embryonic fibroblasts and revealed that the induction of IL-1b-responsive mRNAs was largely ablated in IRAK-4 KD cells. In summary, our results suggest that IRAK-4 kinase activity plays a critical role in IL-1R/TLR7-mediated induction of inflammatory responses.;	Keywords: genetic modification, strain comparison, cell stimulation, time course, inflammatory response"	Mus musculus		0	0	0	0	1	0	0	1	0	0	
1		GSE7831	Expression data from immature pDC and pDC activated with CpG 1826 and influenza virus PR8	5/17/2007	Expression profiling by array	"CpG 1826 binds to Toll-like receptor (TLR)9, whereas influenza virus PR8 activates pDC via TLR7. Differential stimulation of pDCs is expected to result in unique activation mechanism(s) leading to a different phenotypically and functionally matured pDC;	We used microarrays to detail the global programme of gene expression underlying the maturation process of pDC activated with CpG 1826 and influenza virus PR8. We identified a distinct expression profile of upregulated immunomediators.;	Keywords: time course"	Mus musculus		0	0	0	0	1	0	0	1	0	0	
1		GSE9287	Differential gene expression in wild-type versus Yaa mutant mouse spleen cells	10/10/2007	Expression profiling by array	"T cells from many patients with systemic lupus erythematosus are hypoproliferative in response to TCR ligation. This defect is mediated, at least in part, through down regulation of the TCR zeta chain. Investigation of this phenomenon in lupus-prone mice revealed that the hypoproliferative T cell phenotype apparent in BXSB males is mediated;	in part by the Yaa locus. The BXSB model of lupus is a recombinant inbred strain that was originally derived from a cross between a male SB/LE mouse and a female C57BL/6 mouse. BXSB is unique among lupus-prone mouse strains, in that males carry an autoimmune accelerating factor on the Y chromosome, termed Yaa, which accelerates disease onset in male BXSB mice so that fatal glomerulonephritis occurs around 6 months of age. It was recently reported that the Yaa locus is a translocation of a short stretch of genes including that encoding Toll-like;	receptor 7 (Tlr-7) from the X to the Y chromosome, leading to a two-fold over expression of a subset of these genes, including Tlr-7, and hypersensitivity of Yaa+ cells to TLR-7 agonists.;	;	To more fully understand the functional significance of the Yaa gene and how it plays a part in the modulation of CD4+ T cell responses, we performed microarray analysis using Affymetrix 430 2.0 arrays on spleens from B6 male B6.Yaa male samples.  The analysis revealed an enhanced signature of innate immunity, including increased expression not only of Tlr7 and Tlr8, in line with reports that the Yaa locus leads to a duplication of the murine Tlr7 and Tlr8 genes , but also of Tlr2, Tlr5, Cd14, Lbp, C2, C3 and genes for several heat-shock proteins. T cells from B6.Yaa mice also displayed decreased TCRζ expression. Interestingly, cell surface levels of the inhibitory molecule B7-H1 were increased on B6.Yaa B cells and monocytes/macrophages. In line with increased TLR-7 expression reported in B6.Yaa mice, the TLR-7 agonist imiquimod increased B7-H1 expression on normal B cells. Restoration of proliferation in co-cultures of B6 T cells and B6.Yaa APC with B7-H1 blocking Ab demonstrated a mechanistic contribution of B7-H1 up-regulation to Yaa-mediated APC-dependent T cell hypoproliferation. In addition, T cell hypoproliferation was induced in normal B6 T cells in vitro by the application of imiquimod. However, this defect was not mediated by B7-H1 or secreted factors but was independent of APC and mediated through direct imiquimod stimulation of T cells themselves. We postulate that excessive TLR-7 stimulation in Yaa+ mice mediates T cell hypoproliferation in part through up-regulation of B7-H1 and possibly also through direct T cell-mediated effects.;	Keywords: differential gene expression, RNA, spleen, C57Bl/6J, B6.SB-Yaa/J, male, wild type, Yaa"	Mus musculus		0	0	1	0	1	1	0	1	1	0	
1		GSE13032	The Effects of Resiquimod Treatment on the Asthma Transcriptome	10/3/2008	Expression profiling by array	"Resiquimod is a nucleoside analog belonging to the imidazoquinoline family of compounds which is known to signal through Toll-like receptor 7.  Resiquimod treatment has been demonstrated to inhibit the development of allergen induced asthma in experimental models.  Despite this demonstrated effectiveness, little is known about the molecular events responsible for this effect.  The aim of the present study was to elucidate the molecular processes which were altered following resiquimod treatment and antigen challenge in a mouse model of allergic asthma.  Employing microarray analysis, we have characterized the “asthmatic” transcriptome of the murine lung and determined that it includes genes involved in: the control of cell cycle progression, airway remodelling, the complement and coagulation cascades, and chemokine signalling.  We have demonstrated that systemic resiquimod administration resulted in the recruitment of NK cells to the lungs of the mice, although no causal relationship between NK cell recruitment and treatment efficacy was found.  Furthermore, results of our studies demonstrated that resiquimod treatment resulted in the normalization of the expression of genes involved with airway remodelling and chemokine signalling, and in the modulation of the expression of genes including cytokines and chemokines, adhesion molecules, and B-cell related genes, involved in several aspects of immune function and antigen presentation.  Overall, our findings identified several genes, important in the development of asthma pathology, that were normalized following resiquimod treatment thus improving our understanding of the molecular consequences of resiquimod treatment in the lung milieu.;	;	Keywords: Disease and treatment state analysis"	Mus musculus		0	0	0	0	1	0	0	1	0	0	
1		GSE41496	Toll-like receptor 7 is a primary sensor of malaria infection	10/11/2012	Expression profiling by array	"Microarray profiling of amplified total splenic RNA isolated from TLR9-, TLR7-, UNC93b1- or MYD88- deficient mice or their C57BL/6 controls 24h after mock infection or infection with Plasmodium chabaudi."	Mus musculus		0	0	0	0	1	0	0	1	0	1	
1		GSE50400	"Suppression of molecular inflammatory pathways by Toll-like Receptor 7, 8, and 9 antagonists in a model of IL-23-induced skin inflammation"	8/28/2013	Expression profiling by array	"Psoriasis is a complex inflammatory disease resulting from the activation of T helper (Th) 1 and Th17 cells.  Recent evidence suggests that abnormal activation of Toll-like receptors (TLRs) 7, 8 and 9 contributes to the initiation and maintenance of psoriasis.  We have evaluated the effects of TLR antagonists on the gene expression profile in an IL-23-induced skin inflammation model in mice.  Psoriasis-like skin lesions were induced in C57BL/6 mice by intradermal injection of IL-23 in the dorsum.  Two TLR antagonists were compared: IMO-3100, an antagonist of TLRs 7 and 9, and IMO-8400, an antagonist of TLRs 7, 8 and 9, both of which previously have been shown to reduce epidermal hyperplasia in this model.  Skin gene expression profiles of IL-23-induced inflammation were compared with or without TLR antagonist treatment.  IL-23 injection resulted in alteration of 5100 gene probes (fold change ≥ 2, FDR < 0.05) including IL-17 pathways that are up-regulated in psoriasis vulgaris.   Targeting TLRs 7, 8 and 9 with IMO-8400 resulted in modulation of more than 2300 mRNAs while targeting TLRs 7 and 9 with IMO-3100 resulted in modulation of more than 1900 mRNAs.  Both agents strongly decreased IL-17A expression (>12-fold reduction), normalized IL-17 induced genes such as beta-defensin and CXCL1, and normalized aberrant expression of keratin 16 (indicating epidermal hyperplasia). These results suggest that IL-23-driven inflammation in mouse skin may be dependent on signaling mediated by TLRs 7, 8, and 9 and that these receptors represent novel therapeutic targets in psoriasis vulgaris and other diseases with similar pathophysiology."	Mus musculus		0	0	0	0	1	0	0	1	0	0	
1		GSE47147	Oncogenic MyD88 Mutants Require Toll-like Receptors	5/21/2013	Expression profiling by array	"In the activated B-cell-like (ABC) subtype of diffuse large B cell lymphoma (DLBCL), the most frequent gain-of-function mutations target MyD88, a signaling adapter for Tolllike receptors (TLRs). The most prevalent oncogenic mutant, MyD88 L265P, occurs in 29% of cases and is the most active in engaging the NF-kappaB pathway. Here we show that MyD88 mutants do not function autonomously, but rather require TLR7, TLR9, and to a lesser extent, TLR4 to promote the survival of ABC DLBCL cells. Unlike wild type MyD88, MyD88 mutants associate constitutively with TLR7 and TLR9 in ABC DLBCL cells. Like ligand-induced TLR7/9 signaling in normal immune cells, the survival of ABC DLBCL cell lines depends upon translocation of TLR7 and TLR9 to acidic endolysosomes, where proteolytic processing of their ligand binding ectodomains is required for their oncogenic signaling. ABC DLBCL viability also depends upon CD14, a co-receptor for TLR7 and TLR9 that promotes engagement of nucleic acid ligands by these receptors. Point mutations in the TLR7 or TLR9 ectodomains that abrogate ligand binding and/or signaling were incapable of sustaining ABC DLBCL survival. An inhibitory oligonucleotide that suppresses TLR9 responses in normal B cells blocked NF-kappaB signaling and survival of ABC DLBCL lines. Together, these data suggest that an endogenous TLR ligand may play a pathogenic role in ABC DLBCL and provide a rationale for targeting TLR signaling to improve therapy of this aggressive lymphoma."	Homo sapiens		0	0	0	0	1	0	0	1	0	1	
0		GSE62627	Global analyses revealed age-related alterations in innate immune responses after stimulation of pathogen-recognition receptors	10/22/2014	Expression profiling by array	"Aging leads to dysregulation of multiple components of the immune system that result in increased susceptibility to infections and poor response to vaccines in the aging population. The dysfunctions of adaptive T- and B-cells are well documented but the effect of aging on innate immunity remains incompletely understood. Therefore, we first undertook transcriptional profiling of peripheral blood mononuclear cells (PBMCs) and found that PBMCs isolated from old individuals (≥65 yrs) exhibited a delayed and altered response to stimulation with TLR4, TLR7/8, and RIG-I agonists compared to cells obtained from adults (≤40 yrs). This delayed response to innate immune agonists resulted in the reduced production of pro-inflammatory and antiviral cytokines and chemokines including TNFα, IL-6, IL-1β, IFNα, IFNγ, CCL2 and CCL7. While the major monocyte and dendritic cell subsets did not change numerically with aging, activation of specific cell types was altered. We observed old PBMCs had a lower frequency of CD40+ monocytes, impaired up-regulation of PD-L1 on monocytes and T cells and increased expression of PD-L2 and B7-H4 on B cells. The defective innate immune response adversely affected adaptive immunity as TLR-stimulated PBMCs (minus CD3 T cells) from old subjects’ elicited significantly lower levels of adult T cell proliferation than those from adult subjects in an allogeneic mixed lymphocyte reaction (MLR). Collectively, these age-associated changes in cytokine, chemokine and interferon production, as well as co-stimulatory protein expression, could be responsible for the blunt memory B and T cell immune responses to vaccines and infections."	Homo sapiens		0	0	0	0	1	0	0	1	0	0	
1		GSE58756	Cell intrinsic expression of TLR9 in autoreactive B cells constrains BCR/TLR7-dependent responses	6/24/2014	Expression profiling by array	"Endosomal Toll-like receptors (TLRs) play an important role in the etiology of systemic autoimmune diseases such as SLE, where DNA- and RNA-associated autoantigens activate autoreactive B cells through TLR9- and TLR7-dependent pathways, respectively. Nevertheless, TLR9-deficient autoimmune prone mice develop more severe clinical disease, while TLR7-deficient and TLR7/9-double deficient autoimmune-prone mice develop less severe disease. To determine whether the regulatory activity of TLR9 is B cell intrinsic, we have now directly compared the functional properties of autoantigen activated WT, TLR9-deficient and TLR7-deficient B cells, in an experimental system where proliferation depends on BCR/TLR co-engagement. In vitro, TLR9-deficient cells are less dependent on survival factors for a sustained proliferative response than either WT or TLR7-deficient cells. The TLR9-deficient cells also preferentially differentiate toward the plasma cell lineage, as indicated by expression of CD138, sustained expression of IRF4, and other molecular markers of plasma cells. In vivo, autoantigen-activated TLR9-deficient cells give rise to greater numbers of autoantibody producing cells. Our results identify distinct roles for TLR7 and TLR9 in the differentiation of autoreactive B cells that explain the capacity of TLR9 to limit, and TLR7 to promote, the clinical features of SLE."	Mus musculus		0	0	0	0	1	0	0	1	0	1	
1		GSE65309	Proliferating Langerhans cells dampen inflammation in established mouse psoriatic lesions	1/26/2015	Expression profiling by array	"Psoriasis is a chronic inflammatory skin disease of unknown etiology. Although macrophages and dendritic cells (DCs) have been proposed to drive the psoriatic cascade, their largely overlapping phenotype hampered studying their respective role. Topical application of Imiquimod, a Toll-like receptor 7 agonist, induces psoriasis in patients and psoriasiform inflammation in mice. We showed that daily application of Imiquimod for 14 days recapitulated both the initiation and the maintenance phase of psoriasis. Based on our ability to discriminate Langerhans cells (LCs), conventional DCs, monocytes, monocyte-derived DCs and macrophages in the skin, we characterized their dynamics during both phases of psoriasis. During the initiation phase, neutrophils infiltrated the epidermis whereas monocytes and monocyte-derived DCs were predominant in the dermis. During the maintenance phase, LCs and macrophage numbers increased in the epidermis and dermis, respectively. LC expansion resulted from local proliferation, a conclusion supported by transcriptional analysis. Continuous depletion of LCs during the course of Imiquimod treatment aggravated chronic psoriatic symptoms as documented by an increased influx of neutrophils and a stronger inflammation. Therefore, by developing a mouse model that mimics the human disease more accurately, we established that LCs play a negative regulatory role during the maintenance phase of psoriasis."	Mus musculus		0	0	0	0	1	0	0	1	0	0	
