gse	title.x	submission_date.x	type.x	summary	organism_ch1	tlr1	tlr10	tlr2	tlr3	tlr4	tlr5	tlr6	tlr7	tlr8	tlr9
GSE14719	Liver gene expression profiles of TLR3-/- versus TLR3wt (C57Bl/6) mice	39849	Expression profiling by array	"cDNA was prepared from total liver RNA taken from untreated, 3 months old, TLR3-/- and TLR3wt C57Bl/6 mice"	Mus musculus	0	0	0	1	0	0	0	0	0	0
GSE14816	Immune Response of Immature Dendritic Cells after Infection with Human Cytomegalovirus Strain TB40E	39857	Expression profiling by array	"Microarray analysis and quantitative real-time PCR revealed that TB40E infection of DCs led to changes of the gene expression pattern. A variety of pro-inflammatory cytokines and chemokines (CXCL10, CXCL11, CCL5), TLR3 and genes whose products function downstream of the TLR3 signalling pathway (e.g. IFN-α, IFN-β) were significantly upregulated."	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE15066	"Macrophage Response to LPS, poly(I:C) and CpG DNA Stimulation"	39874	Expression profiling by array	"Molecular Pathways and Transcriptional Networks Involved in the Macrophage Response to LPS, poly(I:C) and CpG DNA Stimulation;	;	Background:  Toll-like family of receptors recognizes pathogen-associated molecular patterns (PAMPs) from different organisms.  TLR4 is the receptor for bacterial lipopolysaccharide (LPS), dsRNA viral mimic poly(I:C) binds to TLR3, and bacterial CpG DNA signals through TLR9.  TLR4 signaling is mediated by adaptor molecules Myd88 and TRIF while TLR3 pathway involves only the TRIF adaptor and TLR9 signals solely through Myd88.      Methods:  To identify genes other than those in TLR pathways that mediate macrophage response to different PAMPs, RAW264.7 cells were stimulated with LPS, poly(I:C), or CpG DNA, and RNA was profiled on microarrays 6 hrs and 24 hrs post-treatment.  Gene expression data were analyzed to determine genes, pathways and transcriptional networks that are in common and unique to each of the three TLR stimuli.  Potentially novel candidates revealed by this analysis were tested for their role in innate immunity using RNA interference.    Results:  Many genes are differentially regulated by LPS and poly(I:C) at both 6 hrs and 24 hrs following treatment, while CpG DNA elicits a much less pronounced transcriptional response.  By analyzing gene expression data for networks and pathways, we prioritized differentially expressed genes that are in common to all three PAMPs as well as those shared by LPS and poly(I:C).  Knockdown by RNA interference of two genes, Plec1 and TPST1, inhibited production of IL-6 in response to LPS in cultured macrophages.      Conclusions:  We have identified novel innate immunity genes that may be important in macrophage response to LPS, poly(I:C), and CpG DNA stimuli.  Our results provide potential biomarkers and therapeutic targets that should be further investigated in mice and human populations."	Mus musculus	0	0	0	1	1	0	0	0	0	1
GSE15416	Gene expression and synergistic interactions induced by CpG ODN and/or poly(I:C)	39898	Expression profiling by array	"Bioinformatic analysis of microarray data was used to identify the regulatory patterns underlying changes in gene expression induced when RAW 264.7 macrophages were stimulated via TLR9 by CpG oligonucleotides (ODN) and/or via TLR3 by poly (I:C). While the genes activated by each ligand mediated similar functions, poly (I:C) elicited a larger and more diverse change in gene expression. Co-stimulation with both ligands accelerated gene expression and synergistically activated genes primarily associated with immune function. This is the first work to compare global changes in gene regulation triggered by distinct TLR pathways and clarify their impact on gene expression."	Mus musculus	0	0	0	1	0	0	0	0	0	1
GSE20214	Gene expression profiling of pancreatic islets in BioBreeding rats	40214	Expression profiling by array	"Like humans, the NOD mouse and other diabetes susceptible rat strains, T1D in BB rats is dependent on the major histocompatibility complex (MHC, insulin dependent diabetes mellitus locus 1, Iddm1) located on chromosome 20. In rats this is the HLA-DQB1 homologue RT1-B, specifically the RT1u haplotype.  Our studies employ congenic derivatives of the BB rat, the DRlyp/lyp and DR+/+ strains, which differ only by the 2 Mb lyp (lymphopenia, Iddm2) region on chromosome 4. TID in the lymphopenic DRlyp/lyp rat is spontaneous and onset occurs in 100% of animals during adolescence (65.3+/-6.3 days) due to a recessive mutation within GIMAP5 (GTPase, IMAP family member 5). Gimap5 is a mitochondrial GTP-binding protein necessary for post-thymic T cell survival. The spontaneously diabetic phenotype observed in DRlyp/lyp rats is thought to be elicited through deficiency in CD4+CD25+ TREG cells as T1D in lymphopenic BB rats can be rescued through adoptive transfer of this population.  Genetic variation in GIMAP5 has been associated with the development of protein-tyrosine phosphatase-2 (IA-2) autoantibodies in human T1D [28] and is significantly associated with systemic lupus erythematosus (SLE). The non-lymphopenic DR+/+ strain possesses wild-type GIMAP5 alleles and does not develop spontaneous T1D, however, T1D is inducible through administration of lymphotoxic anti-RT6 monoclonal antibody and immune activating polyinosinic polycytidylic acid (poly I:C; a ligand of toll-like receptor 3), or through viral depletion of CD4+CD25+ regulatory T (TREG) cells.  Such treatments do not induce T1D in the related Wistar-Furth (WF) rats and suggest the presence of an underlying diabetic predisposition in BB rats that is phenotypically manifested upon loss of immune regulation.;	DRlyp/lyp and DR+/+ rats possess characteristics that make them ideal for the identification of pathways relevant to the development of T1D since they possess absolute or conditional susceptibility to T1D.  The Gimap-/- Iddm2 locus conveys upon DRlyp/lyp rats a deficiency in immune regulatory capacity and the spontaneous T1D phenotype. Consistent with the concept that autoimmunity involves both a lack of self-tolerance as well as target organ-specific factors, we have discovered that DRlyp/lyp and DR+/+ (BB) rats share an islet specific stress. This is reflected by the expression of immune mediators, including the chemokine eotaxin that recruits eosinophils, certain T cell subsets, dendritic cells, and mast cells, by islet β cells early in life, before infiltration of immune cells into the islet (insulitis). While BB and WF rats share Iddm1 (RT1u/u MHC), islet eotaxin expression in not observed in WF islets and thus is associated with the T1D susceptibility of BB rats. Further supporting the hypothesis that additional genetic factors, perhaps those working at the level of the pancreatic β cell, are necessary for the development of T1D are the observations that 1) The generation Fischer 344 (F344) rats either homozygous for Gimap5-/-  or homozygous for both RT1u/u and Gimap5-/- fail to develop T1D; and 2) genetic crosses between BB rats and non diabetic strains have identified numerous Iddm loci independent of Iddm1 and Iddm2."	Rattus norvegicus	0	0	0	1	1	0	0	0	0	0
GSE21548	Gene Expression Profiles of RAW264.7 Macrophages Stimulated with Two Commonly Used Preparations of LPS	40295	Expression profiling by array	"Background:  Toll-like family of receptors recognizes pathogen-associated molecular patterns (PAMPs) from different organisms.  TLR4 is the receptor for bacterial lipopolysaccharide (LPS), dsRNA viral mimic poly(I:C) binds to TLR3, and bacterial CpG DNA signals through TLR9.  TLR4 signaling is mediated by adaptor molecules Myd88 and TRIF while TLR3 pathway involves only the TRIF adaptor and TLR9 signals solely through Myd88.      Methods:  To identify genes other than those in TLR pathways that mediate macrophage response to different PAMPs, RAW264.7 cells were stimulated with LPS, poly(I:C), or CpG DNA, and RNA was profiled on microarrays 6 hrs and 24 hrs post-treatment.  Gene expression data were analyzed to determine genes, pathways and transcriptional networks that are in common and unique to each of the three TLR stimuli.  Potentially novel candidates revealed by this analysis were tested for their role in innate immunity using RNA interference.    Results:  Many genes are differentially regulated by LPS and poly(I:C) at both 6 hrs and 24 hrs following treatment, while CpG DNA elicits a much less pronounced transcriptional response.  By analyzing gene expression data for networks and pathways, we prioritized differentially expressed genes that are in common to all three PAMPs as well as those shared by LPS and poly(I:C).  Knockdown by RNA interference of two genes, Plec1 and TPST1, inhibited production of IL-6 in response to LPS in cultured macrophages.      Conclusions:  We have identified novel innate immunity genes that may be important in macrophage response to LPS, poly(I:C), and CpG DNA stimuli.  Our results provide potential biomarkers and therapeutic targets that should be further investigated in mice and human populations.;	;	Keywords: time course"	Mus musculus	0	0	0	1	1	0	0	0	0	1
GSE22217	MICROARRAY-BASED GENE EXPRESSION ANALYSIS OF HUMAN OSTEOBLASTS IN RESPONSE TO ROUGHNESS AND FLUORIDE TREATMENT OF TITANIUM IMPLANTS	40337	Expression profiling by array	"Tissue response following implantation determines the success of the healing process. This response is not only dependent on the chemical properties of the implant surface but also by the surface topography or its roughness. Although in vitro and in vivo studies show improved results with rough- and fluoride-modified implants, the mechanisms behind these findings are still unknown. Here, we have used a two step procedure to identify novel genes related to the early cell response of primary human osteoblasts to roughness and fluoride-modified titanium implants. 217 genes were identified by microarray analysis as response genes to roughness and 198 genes as response genes to fluoride. 11 of these identified genes have been related to bone and mineralization and were further investigated by real-time RT-PCR. After one day of culture, TLR3, ANKH, DCN, OC and RUNX2 were classified as responsive genes to roughness; DLX2 and TUFT1 as responsive genes to fluoride treatment. COLL-I, PTHLH, HES1, FST, ENPP1 and THRA as responsive genes to both, roughness and fluoride treatment.  In conclusion, our strategy was useful for identifying novel genes that might be involved in the early response of osteoblasts to roughness and fluoride treatment of titanium implants.   Tissue response following implantation determines the success of the healing process. This response is not only dependent on the chemical properties of the implant surface but also by the surface topography or its roughness. Although in vitro and in vivo studies show improved results with rough- and fluoride-modified implants, the mechanisms behind these findings are still unknown. Here, we have used a two step procedure to identify novel genes related to the early cell response of primary human osteoblasts to roughness and fluoride-modified titanium implants. 217 genes were identified by microarray analysis as response genes to roughness and 198 genes as response genes to fluoride. 11 of these identified genes have been related to bone and mineralization and were further investigated by real-time RT-PCR. After one day of culture, TLR3, ANKH, DCN, OC and RUNX2 were classified as responsive genes to roughness; DLX2 and TUFT1 as responsive genes to fluoride treatment. COLL-I, PTHLH, HES1, FST, ENPP1 and THRA as responsive genes to both, roughness and fluoride treatment.  In conclusion, our strategy was useful for identifying novel genes that might be involved in the early response of osteoblasts to roughness and fluoride treatment of titanium implants."	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE22373	Monocyte vs Macrophage Study	40344	Expression profiling by array	"Human intestinal macrophages contribute to tissue homeostasis in noninflamed mucosa through profound down-regulation of pro-inflammatory cytokine release. Here, we show that this down-regulation extends to Toll-like receptor (TLR)-induced cytokine release, as intestinal macrophages expressed TLR3-TLR9 but did not release cytokines in response to TLR-specific ligands. Likely contributing to this unique functional profile, intestinal macrophages expressed markedly down-regulated adapter proteins MyD88 and Toll interleukin receptor 1 domain-containing adapter-inducing interferon beta, which together mediate all TLR MyD88-dependent and -independent NF-kappaB signaling, did not phosphorylate NF-kappaB p65 or Smad-induced IkappaBalpha, and did not translocate NF-kappaB into the nucleus. Importantly, transforming growth factor-beta released from intestinal extracellular matrix (stroma) induced identical down-regulation in the NF-kappaB signaling and function of blood monocytes, the exclusive source of intestinal macrophages. Our findings implicate stromal transforming growth factor-beta-induced dysregulation of NF-kappaB proteins and Smad signaling in the differentiation of pro-inflammatory blood monocytes into noninflammatory intestinal macrophages."	Homo sapiens	0	0	0	1	1	0	0	0	0	1
GSE24155	AIM2-responsive genes in colorectal tumor cells	40436	Expression profiling by array	"Absent in Melanoma 2 (AIM2) is a member of the HIN-200 family of hematopoietic, IFN-inducible nuclear proteins associated with infection defense and tumor pathology. Recently, AIM2 was found to act as a DNA sensor in innate immunity. In addition, a high frequency of AIM2-alterations was observed in microsatellite unstable tumors. To elucidate AIM2 function in colorectal tumors, we here addressed AIM2-responsive genes by microarray. Among genes up-regulated by AIM2, there were a number of interferon-stimulated genes (ISGs: IFIT1, IFIT2, IFIT3, IFI6, IRF7, ISG15, HLA-DRA, HLA-DRB, TLR3 and CIITA) as well as genes involved in intercellular adhesion and matrix remodeling. Expression of ISGs correlated with expression of AIM2 in ten different IFN-γ treated colorectal cancer cell lines. Moreover, knock-down of AIM2 resulted in reduced expression of HLA-DRA, HLA-DRB, and CIITA in IFN-γ treated cells. IFN-γ independent induction of HLA-DR genes and their encoded proteins was also demonstrated upon transient induction of AIM2. STAT-signaling was not involved in IFN-γ independent induction of ISGs, arguing against participation of cytokines released in an autocrine manner. Our data indicate that AIM2 mediates IFN-γ dependent and independent induction of several Interferon stimulated genes (ISGs) including genes encoding the MHC II antigens HLA-DRα and β.;	we used microarray techniques to define genes responsive to AIM2 expression in colorectal tumor cells."	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE24671	"The nucleic-acid recognizing Toll-like receptors -3, -7 and -9 cooperatively protect against murine T cell lymphoma caused by endogenous retrovirus"	40464	Expression profiling by array	"The genome of vertebrates contains endogenous retroviruses (ERVs) that have resulted from ancestral infections by exogenous retroviruses. ERVs are germline encoded, transmitted in a Mendelian fashion and account for about 8% of the human and 9.9% of the murine genome, respectively1, 2. By spontaneous activation and reintegration ERVs may cause insertional mutagenesis and thus participate in the process of malignant transformation or progression of tumor growth3, 4. However, if the innate immune system is able to recognize and control ERVs has not yet been elucidated. Here we report that, in vitro, nucleic-acid sensing TLRs on dendritic cells are activated by retroviral RNA and DNA from infected cells in vitro. Infection of TLR competent wild type mice with murine leukemia virus (MuLV)-like ERV isolates results in non-canonical gene upregulation, independent of type I IFN. In vivo, TLR3, -7 and -9 triple deficient mice (TLR379-/-) and mice with non functional TLR3, 7 and 9 signaling due to a mutation in UNC93B develop spontaneous ERV-induced viremia. More importantly, in TLR379-/- mice ERV-induced viremia correlates with acute T cell lymphoblastic leukemia (T-ALL). Multiple independent TLR379-/- T cell leukemia lines produce infectious MuLV of endogenous origin. These cell lines display de novo retroviral integration into the Nup214 or Notch1 gene locus leading to gene dysregulation that is reminiscent of aberrant Nup214 and Notch1 expression in human T-ALLs5. Overall, our results demonstrate that in addition to their role in innate immune defense against exogenous pathogens, TLR3,-7, and -9 may be essential for the control of endogenous retroviral mediated T-cell lymphomagenesis."	Mus musculus	0	0	0	1	1	0	0	0	0	0
GSE30951	Complete TLR3 deficiency	40750	Expression profiling by array	The objective of this study is to study the Toll-like receptor 3 (TLR3)-dependent gene expression in human fibroblast cells and peripheral blood mononuclear cells (PBMCs)	Homo sapiens	0	0	0	1	1	0	0	0	0	0
GSE32390	In vitro responses of PBMC and fibroblasts from patients with TRIF deficiency after TRIF dependent and independent stimuli	40812	Expression profiling by array	"We report here unrelated HSE patients with autosomal recessive (AR) or autosomal dominant (AD) TRIF deficiency. The AR form of the disease is due to a homozygous nonsense mutation, resulting in a complete absence of the TRIF protein. Both the TLR3 and the TRIF-dependent TLR4 signaling pathways are abolished. The AD form of TRIF deficiency is due to a heterozygous missense mutation resulting in a dysfunctional protein. The TLR3 signaling pathway is impaired, whereas the TRIF-dependent TLR4 pathway is unaffected. Both patients however showed reduced capacity to respond to cytosolic double stranded RNA, consistent with recent reports of TRIF’s involvement in the DExD/H-box helicases pathway."	Homo sapiens	0	0	0	1	1	0	0	0	0	0
GSE32862	Synthetic double stranded RNA reliably induces innate immunity similar to a live viral vaccine in humans	40827	Expression profiling by array	"Adjuvants are critical for the success of vaccines, and agonists for microbial pattern recognition receptors are promising new candidates. A mechanism for the immune enhancing role of adjuvants is to stimulate innate immunity. We studied the innate immune response in humans to synthetic double stranded RNA (poly ICLC), a ligand for TLR3 and MDA-5 cytosolic RNA helicase. Transcriptional analysis of blood samples from eight volunteers, after subcutaneous administration of poly ICLC showed upregulation of genes involved in multiple innate immune pathways in all subjects, including interferon and inflammasome signaling. Blocking of type I interferon receptor ex vivo significantly dampened the response to poly IC. Comparative transcriptional analysis showed that several innate pathways were similarly induced in volunteers immunized with the highly efficacious Yellow Fever Vaccine. Therefore a chemically defined microbial agonist like poly ICLC can be a reliable and authentic microbial mimic for inducing innate immunity, here for a live attenuated viral vaccine in humans."	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE32893	Human bronchial epithelial cells exposed to A. alternata spores	40827	Expression profiling by array	"This present study is the first to investigate the global changes in host gene expression during the interaction of human bronchial epithelial cells and live Alternaria spores. Human bronchial epithelial cells (BEAS2-B) were exposed to spores or media alone for 24 hours. RNA was collected from three biological replicates/treatment and used to assess changes in gene expression patterns using Affymetrix Human Genome U133 Plus 2.0 Arrays. Interestingly, many cytokine/chemokine immune response genes were upregulated. Genes involved in cell death, retinoic acid signaling, TLR3, and interferon response pathways were also significantly upregulated."	Homo sapiens	0	0	0	1	0	0	0	0	0	0
GSE36891	Profiling of gene expression in TLR2 and TLR3 activated macrophages	40996	Expression profiling by array	"We have identified more than 50 genes that have upregulated expression in TLR3 activated (PMI-1,2), but have downregulated expression in TLR2 activated (PMP-1,2) macrophages, as compared to control cells (PMC-1,2)"	Mus musculus	0	0	1	1	0	0	0	0	0	0
GSE38652	In vitro responses of fibroblasts from patients with TBK1 deficiency after TLR3 dependent and independent stimuli	41072	Expression profiling by array	"We report here two unrelated HSE patients carrying different heterozygous mutations (D50A and G159A) in TBK1, the gene encoding TANK-binding kinase 1, a kinase at the crossroads of multiple IFN-inducing signaling pathways. Both mutant TBK1 alleles are loss-of-function, but through different mechanisms: protein instability (D50A) or a loss of kinase activity (G159A). Both are also associated with an autosomal dominant (AD) trait, but by different mechanisms: haplotype-insufficiency (D50A) or negative dominance (G159A). A defect in poly(I:C)-induced TLR3 responses can be detected in fibroblasts heterozygous for G159A, but not for D50A TBK1."	Homo sapiens	0	0	0	1	0	0	0	0	0	0
