GSE	geo_accession	xpType	RefDye	Note	Group	Ignore	XP	Batch	isCTRL	Node	NodeFunction	BSM	BSMDCD	BSMDCD2	BioSampName	title	source_name_ch1	source_name_ch2	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	characteristics_ch1.5	characteristics_ch1.6	characteristics_ch1.7	characteristics_ch2.1	characteristics_ch2.2	characteristics_ch2.3	characteristics_ch2.4	characteristics_ch2.5	characteristics_ch1	characteristics_ch2	platform_id	description.9	description	description.1	description.2	description.3	description.4	description.5	description.6	description.7	description.8
GSE22124	GSM550282	1C|TS		API09=inactive control=Veh	A	0	1		0			R848	1h	0.1 uM	RAW macrophages	RAW_R848+API09_t1	RAW cells in DMEM were stimulatate with R848 in the presence of API09 for 1h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550283	1C|TS			d	0	1		1			(Veh)	3h		RAW macrophages	RAW_media_t3	RAW cells in DMEM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550284	1C|TS			E	0	1		0			R848	3h	0.1 uM	RAW macrophages	RAW_R848_t3	RAW cells in DMEM were stimulatate with R848 for 3h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550285	1C|TS			F	0	1		0			R848;apilimod	3h	0.1 uM;1 uM	RAW macrophages	RAW_R848+apilimod_t3	RAW cells in DMEM were stimulatate with R848 in the presence of apilimod for 3h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550286	1C|TS		API09=inactive control=Veh	E	0	1		0			R848	3h	0.1 uM	RAW macrophages	RAW_R848+API09_t3	RAW cells in DMEM were stimulatate with R848 in the presence of API09 for 3h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550287	1C|TS			e	0	1		1			(Veh)	7h		RAW macrophages	RAW_media_t7	RAW cells in DMEM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550288	1C|TS			G	0	1		0			R848	7h	0.1 uM	RAW macrophages	RAW_R848_t7	RAW cells in DMEM were stimulatate with R848 for 7h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550289	1C|TS			H	0	1		0			R848;apilimod	7h	0.1 uM;1 uM	RAW macrophages	RAW_R848+apilimod_t7	RAW cells in DMEM were stimulatate with R848 in the presence of apilimod for 7h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550290	1C|TS		API09=inactive control=Veh	G	0	1		0			R848	7h	0.1 uM	RAW macrophages	RAW_R848+API09_t7	RAW cells in DMEM were stimulatate with R848 in the presence of API09 for 7h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550291	1C|TS			c	0	1		1			(Veh)	22h		RAW macrophages	RAW_media_t22	RAW cells in DMEM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550292	1C|TS			C	0	1		0			R848	22h	0.1 uM	RAW macrophages	RAW_R848_t22	RAW cells in DMEM were stimulatate with R848 for 22h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550293	1C|TS			D	0	1		0			R848;apilimod	22h	0.1 uM;1 uM	RAW macrophages	RAW_R848+apilimod_t22	RAW cells in DMEM were stimulatate with R848 in the presence of apilimod for 22h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE22124	GSM550294	1C|TS		API09=inactive control	C	0	1		0			R848	22h	0.1 uM	RAW macrophages	RAW_R848+API09_t22	RAW cells in DMEM were stimulatate with R848 in the presence of API09 for 22h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell type: macrophage cell line	NA	GPL1261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
						NA			NA																																		
GSE64480	GSM1572093	1C			a	0	1		1			(Veh)	12h		monocytes	Donor 1 untreated	monocytes	NA	individual: deidentified donor 1	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: untreated	NA	GPL570	NA	UT_01	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572094	1C			A	0	1		0			3M-055	12h	1 uM	monocytes	Donor 1 TLR7 agonist	monocytes	NA	individual: deidentified donor 1	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: TLR7 agonist	NA	GPL570	NA	TLR7_01	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572095	1C			B	0	1		0			VTX-2337	12h	1 uM	monocytes	Donor 1 TLR8 agonist	monocytes	NA	individual: deidentified donor 1	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: TLR8 agonist	NA	GPL570	NA	TLR8_01	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572096	1C			a	0	1		1			(Veh)	12h		monocytes	Donor 2 untreated	monocytes	NA	individual: deidentified donor 2	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: untreated	NA	GPL570	NA	UT_02	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572097	1C			A	0	1		0			3M-055	12h	1 uM	monocytes	Donor 2 TLR7 agonist	monocytes	NA	individual: deidentified donor 2	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: TLR7 agonist	NA	GPL570	NA	TLR7_02	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572098	1C			B	0	1		0			VTX-2337	12h	1 uM	monocytes	Donor 2 TLR8 agonist	monocytes	NA	individual: deidentified donor 2	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: TLR8 agonist	NA	GPL570	NA	TLR8_02	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572099	1C			a	0	1		1			(Veh)	12h		monocytes	Donor 3 untreated	monocytes	NA	individual: deidentified donor 3	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: untreated	NA	GPL570	NA	UT_03	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572100	1C			A	0	1		0			3M-055	12h	1 uM	monocytes	Donor 3 TLR7 agonist	monocytes	NA	individual: deidentified donor 3	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: TLR7 agonist	NA	GPL570	NA	TLR7_03	NA	NA	NA	NA	NA	NA	NA	NA
GSE64480	GSM1572101	1C			B	0	1		0			VTX-2337	12h	1 uM	monocytes	Donor 3 TLR8 agonist	monocytes	NA	individual: deidentified donor 3	cell type: monocytes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	treatment: TLR8 agonist	NA	GPL570	NA	TLR8_03	NA	NA	NA	NA	NA	NA	NA	NA
						NA			NA																																		
GSE67057	GSM1637575	1C			a	0	1	neonate	1			(Veh)			dendritic cells	cDC_Neonate_Unstim_0h_subj1	Cord blood	NA	age group: Neonate	individual: 1	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1723260056_D	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637576	1C			A	0	1	neonate	0			3M-003	1h	5 uM	dendritic cells	cDC_Neonate_3M003_1h_subj1	Cord blood	NA	age group: Neonate	individual: 1	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1723260056_E	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637577	1C			B	0	1	neonate	0			3M-003	6h	5 uM	dendritic cells	cDC_Neonate_3M003_6h_subj1	Cord blood	NA	age group: Neonate	individual: 1	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1723260056_F	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637578	1C			a	0	1	neonate	1			(Veh)			dendritic cells	cDC_Neonate_Unstim_0h_subj2	Cord blood	NA	age group: Neonate	individual: 2	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089057_D	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637579	1C			A	0	1	neonate	0			3M-003	1h	5 uM	dendritic cells	cDC_Neonate_3M003_1h_subj2	Cord blood	NA	age group: Neonate	individual: 2	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089057_E	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637580	1C			B	0	1	neonate	0			3M-003	6h	5 uM	dendritic cells	cDC_Neonate_3M003_6h_subj2	Cord blood	NA	age group: Neonate	individual: 2	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089057_F	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637581	1C			a	0	1	neonate	1			(Veh)			dendritic cells	cDC_Neonate_Unstim_0h_subj3	Cord blood	NA	age group: Neonate	individual: 3	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089072_A	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637582	1C			A	0	1	neonate	0			3M-003	1h	5 uM	dendritic cells	cDC_Neonate_3M003_1h_subj3	Cord blood	NA	age group: Neonate	individual: 3	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089072_B	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637583	1C			B	0	1	neonate	0			3M-003	6h	5 uM	dendritic cells	cDC_Neonate_3M003_6h_subj3	Cord blood	NA	age group: Neonate	individual: 3	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089072_C	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637584	1C			a	0	1	adult	1			(Veh)			dendritic cells	cDC_Adult_Unstim_0h_subj1	Peripheral blood	NA	age group: Adult	individual: 1	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089072_D	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637585	1C			A	0	1	adult	0			3M-003	1h	5 uM	dendritic cells	cDC_Adult_3M003_1h_subj1	Peripheral blood	NA	age group: Adult	individual: 1	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089072_E	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637586	1C			B	0	1	adult	0			3M-003	6h	5 uM	dendritic cells	cDC_Adult_3M003_6h_subj1	Peripheral blood	NA	age group: Adult	individual: 1	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1848089072_F	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637587	1C			a	0	1	adult	1			(Veh)			dendritic cells	cDC_Adult_Unstim_0h_subj2	Peripheral blood	NA	age group: Adult	individual: 2	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1848089056_A	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637588	1C			A	0	1	adult	0			3M-003	1h	5 uM	dendritic cells	cDC_Adult_3M003_1h_subj2	Peripheral blood	NA	age group: Adult	individual: 2	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1848089056_B	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637589	1C			B	0	1	adult	0			3M-003	6h	5 uM	dendritic cells	cDC_Adult_3M003_6h_subj2	Peripheral blood	NA	age group: Adult	individual: 2	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1848089056_C	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637590	1C			a	0	1	neonate	1			(Veh)			dendritic cells	cDC_Neonate_Unstim_0h_subj4	Cord blood	NA	age group: Neonate	individual: 4	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1848089056_D	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637591	1C			A	0	1	neonate	0			3M-003	1h	5 uM	dendritic cells	cDC_Neonate_3M003_1h_subj4	Cord blood	NA	age group: Neonate	individual: 4	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1848089056_E	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637592	1C			B	0	1	neonate	0			3M-003	6h	5 uM	dendritic cells	cDC_Neonate_3M003_6h_subj4	Cord blood	NA	age group: Neonate	individual: 4	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1848089056_F	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637593	1C			a	0	1	neonate	1			(Veh)			dendritic cells	cDC_Neonate_Unstim_0h_subj5	Cord blood	NA	age group: Neonate	individual: 5	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857160_A	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637594	1C			A	0	1	neonate	0			3M-003	1h	5 uM	dendritic cells	cDC_Neonate_3M003_1h_subj5	Cord blood	NA	age group: Neonate	individual: 5	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857160_B	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637595	1C			B	0	1	neonate	0			3M-003	6h	5 uM	dendritic cells	cDC_Neonate_3M003_6h_subj5	Cord blood	NA	age group: Neonate	individual: 5	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857160_C	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637596	1C			a	0	1	neonate	1			(Veh)			dendritic cells	cDC_Neonate_Unstim_0h_subj6	Cord blood	NA	age group: Neonate	individual: 6	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857160_D	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637597	1C			A	0	1	neonate	0			3M-003	1h	5 uM	dendritic cells	cDC_Neonate_3M003_1h_subj6	Cord blood	NA	age group: Neonate	individual: 6	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857160_E	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637598	1C			B	0	1	neonate	0			3M-003	6h	5 uM	dendritic cells	cDC_Neonate_3M003_6h_subj6	Cord blood	NA	age group: Neonate	individual: 6	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857160_F	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637599	1C			a	0	1	adult	1			(Veh)			dendritic cells	cDC_Adult_Unstim_0h_subj3	Peripheral blood	NA	age group: Adult	individual: 3	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1888857183_A	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637600	1C			A	0	1	adult	0			3M-003	1h	5 uM	dendritic cells	cDC_Adult_3M003_1h_subj3	Peripheral blood	NA	age group: Adult	individual: 3	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1888857183_B	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637601	1C			B	0	1	adult	0			3M-003	6h	5 uM	dendritic cells	cDC_Adult_3M003_6h_subj3	Peripheral blood	NA	age group: Adult	individual: 3	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1888857183_C	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637602	1C			a	0	1	adult	1			(Veh)			dendritic cells	cDC_Adult_Unstim_0h_subj4	Peripheral blood	NA	age group: Adult	individual: 4	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857183_D	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637603	1C			A	0	1	adult	0			3M-003	1h	5 uM	dendritic cells	cDC_Adult_3M003_1h_subj4	Peripheral blood	NA	age group: Adult	individual: 4	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857183_E	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637604	1C			B	0	1	adult	0			3M-003	6h	5 uM	dendritic cells	cDC_Adult_3M003_6h_subj4	Peripheral blood	NA	age group: Adult	individual: 4	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857183_F	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637605	1C			a	0	1	adult	1			(Veh)			dendritic cells	cDC_Adult_Unstim_0h_subj5	Peripheral blood	NA	age group: Adult	individual: 5	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1888857205_A	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637606	1C			A	0	1	adult	0			3M-003	1h	5 uM	dendritic cells	cDC_Adult_3M003_1h_subj5	Peripheral blood	NA	age group: Adult	individual: 5	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1888857205_B	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637607	1C			B	0	1	adult	0			3M-003	6h	5 uM	dendritic cells	cDC_Adult_3M003_6h_subj5	Peripheral blood	NA	age group: Adult	individual: 5	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Female	NA	GPL6102	NA	Sample name: 1888857205_C	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637608	1C			a	0	1	adult	1			(Veh)			dendritic cells	cDC_Adult_Unstim_0h_subj6	Peripheral blood	NA	age group: Adult	individual: 6	cell type: cDC	agent: control	time: 0h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857205_D	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637609	1C			A	0	1	adult	0			3M-003	1h	5 uM	dendritic cells	cDC_Adult_3M003_1h_subj6	Peripheral blood	NA	age group: Adult	individual: 6	cell type: cDC	agent: 3M003	time: 1h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857205_E	NA	NA	NA	NA	NA	NA	NA	NA
GSE67057	GSM1637610	1C			B	0	1	adult	0			3M-003	6h	5 uM	dendritic cells	cDC_Adult_3M003_6h_subj6	Peripheral blood	NA	age group: Adult	individual: 6	cell type: cDC	agent: 3M003	time: 6h	NA	NA	NA	NA	NA	NA	NA	gender: Male	NA	GPL6102	NA	Sample name: 1888857205_F	NA	NA	NA	NA	NA	NA	NA	NA
