GSE	BioSampName	XP	Contrast	Formula	Node	NodeFunction	BSM	BSMDCD	BSMDCD2	
GSE40593	astrocytes	0	UNC93B LOF vs (WT) |	A-a	UNC93B	LOF				
GSE40593	neurons	0	UNC93B LOF vs (WT) |	A-a	UNC93B	LOF				
GSE43217	HT1080	0	pIC vs (Veh) | 6h	C-a			pIC	6h	100 ug/ml	
GSE43217	HT1080	0	PKCi;pIC 1h;6h vs PKCi 1h |	B-A			pIC	1h;6h	5 uM;100 ug/ml	
GSE43217	HT1080	0	PKCi;pIC 1h;6h vs pIC 6h |	B-C			PKCi	1h;6h	5 uM;100 ug/ml	
GSE57512	dendritic cells	0	pIC vs (Veh) | 2h	A-a			pIC	2h		
GSE68820	lung tissue	0	TLR3 LOF vs (WT) | (Veh) 2d	A-a	TLR3	LOF		2d		
GSE68820	lung tissue	0	TLR3 LOF vs (WT) | MA15 virus 2d	C-B	TLR3	LOF		2d	10^5	
GSE68820	lung tissue	0	TLR3 LOF vs (WT) | (Veh) 4d	D-b	TLR3	LOF		4d		
GSE68820	lung tissue	0	TLR3 LOF vs (WT) | MA15 virus 4d	F-E	TLR3	LOF		4d	10^5	
GSE68820	lung tissue	0	TLR3 LOF vs (WT) | (Veh) 7d	G-c	TLR3	LOF		7d		
GSE68820	lung tissue	0	TLR3 LOF vs (WT) | MA15 virus 7d	I-H	TLR3	LOF		7d	10^5	
GSE68820	lung tissue	0	MA15 virus vs (Veh) | TLR3 LOF 2d	C-A		LOF	MA15 virus	2d	10^5	
GSE68820	lung tissue	0	MA15 virus vs (Veh) | TLR3 LOF 4d	F-D		LOF	MA15 virus	4d	10^5	
GSE68820	lung tissue	0	MA15 virus vs (Veh) | (WT) 2d	B-a			MA15 virus	2d	10^5	
GSE68820	lung tissue	0	MA15 virus vs (Veh) | (WT) 4d	E-b			MA15 virus	4d	10^5	
GSE68820	lung tissue	0	MA15 virus vs (Veh) | TLR3 LOF 7d	I-G		LOF	MA15 virus	7d	10^5	
GSE68820	lung tissue	0	MA15 virus vs (Veh) | (WT) 7d	H-c			MA15 virus	7d	10^5	
GSE79241	colon tissue	0	DSS vs (Veh) | 8d	A-a			DSS	8d	2.5% (w/v)	
GSE67241	lung tissue	0	A/Jena/5258/09 virus vs (Veh) | 7d	B-b			A/Jena/5258/09 virus	7d	10^6 TCID50/20 ul	
GSE67241	lung tissue	0	A/Jena/5258/09 virus vs (Veh) | 12d	A-a			A/Jena/5258/09 virus	12d	10^6 TCID50/20 ul	
GSE104190	beta cell line	0	pIC vs (Veh) | 48h	A-a			pIC	48h	1 ug/ml	
